account_id,company_name,industry,region,country,segment,employees,contract_start_date,tenure_months,contract_type,arr_usd,licensed_seats,active_seats,seat_utilization,modules_adopted,modules_list,uses_enlighten_ai,digital_channels_enabled,digital_channel_share_pct,monthly_interactions,usage_trend_pct,avg_login_freq_per_week,onboarding_completed,time_to_value_days,csm_assigned,qbrs_last_12m,support_tickets_90d,critical_incidents_12m,avg_csat,nps_last,discount_pct,price_increase_at_renewal_pct,days_payment_overdue,expansion_arr_usd,health_score,churn_risk_score,status,churned,churn_date,churn_reason
CX-100000,Pioneer Brands,Public Sector,LATAM,Argentina,Mid-Market,2011,2020-11-24,67,Multi-Year,261100,289,204,0.706,5,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Feedback Management; Interaction Analytics; Workforce Management (WFM),Yes,No,1.5,117247,20.6,2.2,Yes,67,Aisha Khan,2,6,1,4.63,8,4.9,0,0,26100,86,11,Active,0,,
CX-100001,Solstice Bank,Telecom,EMEA,Israel,Enterprise,7256,2025-06-23,12,Multi-Year,3497400,3370,2019,0.599,8,ACD (Omnichannel Routing); Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Feedback Management; Interaction Analytics; Performance Management; Quality Management; Recording & Compliance,Yes,Yes,13.5,696106,17.4,6.3,Yes,44,Noa Cohen,2,11,0,4.45,4,3.6,0,0,174900,71,22,Active,0,,
CX-100002,Crimson Logistics,Financial Services,North America,United States,SMB,69,2023-03-25,39,Annual,62700,42,22,0.524,6,Digital Channels (Chat/Email/Social); Enlighten AI (Copilot / Autopilot); Feedback Management; Interaction Analytics; Quality Management; Workforce Management (WFM),Yes,Yes,3.9,10223,-17.5,3.6,Yes,53,Aisha Khan,2,8,0,4.9,9,2.2,0,0,3100,62,34,Active,0,,
CX-100003,Crimson Financial,Technology / SaaS,EMEA,France,SMB,115,2021-11-23,55,Annual,31200,28,26,0.929,2,IVR / Voice; Workforce Management (WFM),No,No,3.0,16185,14.9,0.8,Yes,65,Priya Nair,0,12,0,4.69,2,4.3,0,15,-3100,91,11,Active,0,,
CX-100004,Crimson Logistics,Utilities,North America,United States,SMB,207,2025-07-23,11,Monthly,33000,23,22,0.957,2,Enlighten AI (Copilot / Autopilot); IVR / Voice,Yes,No,1.2,9880,-8.5,0.6,Yes,61,Sofia Marin,0,8,2,3.72,3,20.4,13.9,0,1600,50,47,Active,0,,
CX-100005,Lumen Logistics,Telecom,North America,United States,Mid-Market,1074,2025-02-21,16,Annual,305400,266,178,0.669,2,Recording & Compliance; Workforce Management (WFM),No,No,2.2,96822,-6.1,5.9,Yes,40,Sofia Marin,4,11,0,3.9,7,31.5,13.1,0,0,82,17,Active,0,,
CX-100006,Maple Financial,Hospitality,EMEA,Israel,Mid-Market,1059,2023-11-23,31,Multi-Year,290300,269,236,0.877,1,Workforce Management (WFM),No,No,7.9,81419,3.1,2.7,Yes,18,Unassigned,0,13,0,5.0,3,17.3,17.2,0,-29000,90,22,Active,0,,
CX-100007,Aurora Industries,Financial Services,APAC,Philippines,SMB,113,2021-12-24,54,Annual,82800,57,57,1.0,4,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Interaction Analytics; Quality Management,Yes,No,6.4,22141,36.2,4.8,No,82,Tom Fischer,3,20,0,3.15,1,5.9,0,0,4100,53,41,Churned,1,2025-01-23,Poor support experience
CX-100008,Beacon Logistics,Hospitality,North America,United States,SMB,155,2024-06-23,24,Multi-Year,55100,37,20,0.541,4,ACD (Omnichannel Routing); Feedback Management; Performance Management; Recording & Compliance,No,No,6.6,10407,34.4,2.2,Yes,24,Dana Levi,4,12,0,3.31,7,26.0,15.7,36,11000,38,57,Churned,1,2026-03-07,Price / budget cuts
CX-100009,Sequoia Energy,Retail,North America,Canada,Enterprise,32274,2021-12-24,54,Multi-Year,3212000,3149,2274,0.722,5,ACD (Omnichannel Routing); Enlighten AI (Copilot / Autopilot); Interaction Analytics; Recording & Compliance; Workforce Management (WFM),Yes,No,3.9,481093,0.1,5.8,Yes,48,Priya Nair,3,10,1,3.75,6,2.4,0,1,642400,64,33,Active,0,,
CX-100010,Onyx Brands,Financial Services,North America,United States,Mid-Market,600,2024-07-23,23,Annual,141400,149,101,0.678,2,ACD (Omnichannel Routing); Interaction Analytics,No,No,4.0,42538,-16.1,6.3,Yes,35,Aisha Khan,2,0,2,3.26,3,12.9,0,0,0,58,42,Active,0,,
CX-100011,Atlas Stores,Healthcare,EMEA,South Africa,Mid-Market,967,2025-03-23,15,Multi-Year,77900,80,80,1.0,5,ACD (Omnichannel Routing); Feedback Management; Interaction Analytics; Performance Management; Quality Management,No,No,1.2,24573,0.6,1.6,Yes,55,Kenji Watanabe,2,22,3,4.52,2,33.2,0,0,3900,65,31,Active,0,,
CX-100012,Beacon Brands,Financial Services,North America,United States,SMB,33,2024-12-22,18,Monthly,30600,27,19,0.704,1,Workforce Management (WFM),No,No,4.2,4836,-8.7,1.9,Yes,22,Liam O'Brien,3,19,2,3.48,8,31.1,3.7,0,0,25,63,Active,0,,
